,quantity
0,0.01
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.02
14,0.02
15,0.02
16,0.02
17,0.02
18,0.02
19,0.02
20,0.02
21,0.02
22,0.02
23,0.02
24,0.02
25,0.02
26,0.03
27,0.03
28,0.03
29,0.03
30,0.03
31,0.03
32,0.03
33,0.03
34,0.03
35,0.03
36,0.03
37,0.03
38,0.03
39,0.04
40,0.04
41,0.04
42,0.04
43,0.04
44,0.04
45,0.04
46,0.04
47,0.04
48,0.04
49,0.04
50,0.04
51,0.04
52,0.05
53,0.05
54,0.05
55,0.05
56,0.05
57,0.05
58,0.05
59,0.05
60,0.05
61,0.05
62,0.05
63,0.05
64,0.05
65,0.06
66,0.06
67,0.06
68,0.06
69,0.06
70,0.06
71,0.06
72,0.06
73,0.06
74,0.06
75,0.06
76,0.06
77,0.06
78,0.07
79,0.07
80,0.07
81,0.07
82,0.07
83,0.07
84,0.07
85,0.07
86,0.07
87,0.07
88,0.07
89,0.07
90,0.07
91,0.08
92,0.08
93,0.08
94,0.08
95,0.08
96,0.08
97,0.08
98,0.08
99,0.08
100,0.08
101,0.08
102,0.08
103,0.08
104,0.09
105,0.09
106,0.09
107,0.09
108,0.09
109,0.09
110,0.09
111,0.09
112,0.09
113,0.09
114,0.09
115,0.09
116,0.09
117,0.1
118,0.1
119,0.1
120,0.1
121,0.1
122,0.1
123,0.1
124,0.1
125,0.1
126,0.1
127,0.1
128,0.1
129,0.1
130,0.12
131,0.12
132,0.12
133,0.12
134,0.12
135,0.12
136,0.12
137,0.12
138,0.12
139,0.12
140,0.12
141,0.12
142,0.12
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
151,0.01
152,0.01
153,0.01
154,0.01
155,0.01
156,0.02
157,0.02
158,0.02
159,0.02
160,0.02
161,0.02
162,0.02
163,0.02
164,0.02
165,0.02
166,0.02
167,0.02
168,0.02
169,0.03
170,0.03
171,0.03
172,0.03
173,0.03
174,0.03
175,0.03
176,0.03
177,0.03
178,0.03
179,0.03
180,0.03
181,0.03
182,0.04
183,0.04
184,0.04
185,0.04
186,0.04
187,0.04
188,0.04
189,0.04
190,0.04
191,0.04
192,0.04
193,0.04
194,0.04
195,0.05
196,0.05
197,0.05
198,0.05
199,0.05
200,0.05
201,0.05
202,0.05
203,0.05
204,0.05
205,0.05
206,0.05
207,0.05
208,0.06
209,0.06
210,0.06
211,0.06
212,0.06
213,0.06
214,0.06
215,0.06
216,0.06
217,0.06
218,0.06
219,0.06
220,0.06
221,0.07
222,0.07
223,0.07
224,0.07
225,0.07
226,0.07
227,0.07
228,0.07
229,0.07
230,0.07
231,0.07
232,0.07
233,0.07
234,0.08
235,0.08
236,0.08
237,0.08
238,0.08
239,0.08
240,0.08
241,0.08
242,0.08
243,0.08
244,0.08
245,0.08
246,0.08
247,0.09
248,0.09
249,0.09
250,0.09
251,0.09
252,0.09
253,0.09
254,0.09
255,0.09
256,0.09
257,0.09
258,0.09
259,0.09
260,0.1
261,0.1
262,0.1
263,0.1
264,0.1
